Rank,Title,Year,Rating,Views,Link
19, 7 Tội Lỗi Chết Người,1995,8.6,1.7M,https://www.imdb.com/title/tt0114369/?ref_=chttp_t_19
20, Cuộc Sống Tươi Đẹp,1946,8.6,482K,https://www.imdb.com/title/tt0038650/?ref_=chttp_t_20
21, Bảy Võ Sĩ Đạo,1954,8.6,360K,https://www.imdb.com/title/tt0047478/?ref_=chttp_t_21
22, Hố Đen Tử Thần,2014,8.7,2M,https://www.imdb.com/title/tt0816692/?ref_=chttp_t_22
23, Sự Im Lặng Của Bầy Cừu,1991,8.6,1.5M,https://www.imdb.com/title/tt0102926/?ref_=chttp_t_23
24, Giải Cứu Binh Nhì Ryan,1998,8.6,1.5M,https://www.imdb.com/title/tt0120815/?ref_=chttp_t_24
25, Thành Phố Của Chúa,2002,8.6,786K,https://www.imdb.com/title/tt0317248/?ref_=chttp_t_25
26, Người Nhện: Du Hành Vũ Trụ Nhện,2023,8.7,291K,https://www.imdb.com/title/tt9362722/?ref_=chttp_t_26
27, Cuộc Sống Tươi Đẹp,1997,8.6,727K,https://www.imdb.com/title/tt0118799/?ref_=chttp_t_27
28, Dặm Xanh,1999,8.6,1.4M,https://www.imdb.com/title/tt0120689/?ref_=chttp_t_28
29, Chiến Tranh Giữa Các Vì Sao Tập 4: Niềm Hi Vọng Mới,1977,8.6,1.4M,https://www.imdb.com/title/tt0076759/?ref_=chttp_t_29
30, Kẻ Hủy Diệt 2: Ngày Phán Xét,1991,8.6,1.1M,https://www.imdb.com/title/tt0103064/?ref_=chttp_t_30
31, Trở Về Tương Lai,1985,8.5,1.3M,https://www.imdb.com/title/tt0088763/?ref_=chttp_t_31
32, Vùng Đất Linh Hồn,2001,8.6,817K,https://www.imdb.com/title/tt0245429/?ref_=chttp_t_32
33, Nghệ Sĩ Dương Cầm,2002,8.5,885K,https://www.imdb.com/title/tt0253474/?ref_=chttp_t_33
34, Tâm Thần Hoảng Loạn,1960,8.5,704K,https://www.imdb.com/title/tt0054215/?ref_=chttp_t_34
35, Ký Sinh Trùng,2019,8.5,901K,https://www.imdb.com/title/tt6751668/?ref_=chttp_t_35
36, Võ Sĩ Giác Đấu,2000,8.5,1.6M,https://www.imdb.com/title/tt0172495/?ref_=chttp_t_36
37, Vua Sư Tử,1994,8.5,1.1M,https://www.imdb.com/title/tt0110357/?ref_=chttp_t_37
38, Léon: Sát Thủ Chuyên Nghiệp,1994,8.5,1.2M,https://www.imdb.com/title/tt0110413/?ref_=chttp_t_38
39, Lịch Sử Mĩ Thế Kỉ X,1998,8.5,1.2M,https://www.imdb.com/title/tt0120586/?ref_=chttp_t_39
40, Điệp Vụ Boston,2006,8.5,1.4M,https://www.imdb.com/title/tt0407887/?ref_=chttp_t_40
